prospect_id,date,activity_type,summary,rep
1,2026-02-27,Site Review,Followed up on estimated savings.,Unassigned
1,2026-02-17,Proposal,Followed up on estimated savings.,Unassigned
1,2026-03-26,Proposal,Followed up on estimated savings.,Unassigned
2,2025-11-18,Call,Followed up on estimated savings.,Unassigned
2,2025-12-16,Site Review,Followed up on estimated savings.,Unassigned
2,2025-11-21,Call,Shared proposal and financing overview.,Unassigned
2,2025-12-15,Call,Shared proposal and financing overview.,Unassigned
2,2025-11-06,Email,Shared proposal and financing overview.,Unassigned
3,2025-11-08,Proposal,Reviewed roof suitability and project timeline.,Unassigned
4,2026-02-05,Call,Shared proposal and financing overview.,Atlas Sales
5,2026-02-05,Site Review,Left voicemail and sent SMS.,Unassigned
5,2026-03-09,Call,Shared proposal and financing overview.,Unassigned
6,2025-11-30,Email,Followed up on estimated savings.,Unassigned
6,2025-12-03,Proposal,Left voicemail and sent SMS.,Unassigned
6,2025-11-06,Call,Shared proposal and financing overview.,Unassigned
7,2026-01-16,Call,Shared proposal and financing overview.,Unassigned
8,2026-01-27,Proposal,Reviewed roof suitability and project timeline.,Atlas Sales
8,2026-01-04,Site Review,Shared proposal and financing overview.,Atlas Sales
9,2025-10-25,Text,Left voicemail and sent SMS.,Atlas Sales
9,2025-10-02,Email,Followed up on estimated savings.,Atlas Sales
9,2025-11-21,Text,Shared proposal and financing overview.,Atlas Sales
9,2025-11-11,Text,Reviewed roof suitability and project timeline.,Atlas Sales
10,2026-01-18,Call,Followed up on estimated savings.,Unassigned
10,2026-01-06,Site Review,Left voicemail and sent SMS.,Unassigned
10,2025-12-15,Email,Reviewed roof suitability and project timeline.,Unassigned
11,2025-11-28,Call,Shared proposal and financing overview.,Atlas Admin
11,2026-02-04,Text,Discussed system sizing and utility territory.,Atlas Admin
11,2026-02-19,Text,Shared proposal and financing overview.,Atlas Admin
11,2026-01-25,Proposal,Reviewed roof suitability and project timeline.,Atlas Admin
12,2025-09-05,Text,Reviewed roof suitability and project timeline.,Unassigned
13,2026-02-22,Text,Shared proposal and financing overview.,Atlas Sales
14,2026-02-22,Site Review,Discussed system sizing and utility territory.,Atlas Admin
14,2026-01-19,Site Review,Discussed system sizing and utility territory.,Atlas Admin
14,2026-02-07,Proposal,Followed up on estimated savings.,Atlas Admin
14,2026-03-21,Call,Left voicemail and sent SMS.,Atlas Admin
15,2026-01-29,Email,Reviewed roof suitability and project timeline.,Unassigned
15,2026-03-04,Site Review,Followed up on estimated savings.,Unassigned
15,2026-02-03,Site Review,Reviewed roof suitability and project timeline.,Unassigned
16,2026-03-20,Email,Reviewed roof suitability and project timeline.,Unassigned
16,2026-04-24,Text,Reviewed roof suitability and project timeline.,Unassigned
16,2026-03-30,Site Review,Left voicemail and sent SMS.,Unassigned
16,2026-03-04,Call,Left voicemail and sent SMS.,Unassigned
16,2026-03-04,Email,Left voicemail and sent SMS.,Unassigned
17,2026-03-29,Proposal,Left voicemail and sent SMS.,Unassigned
18,2026-02-02,Call,Left voicemail and sent SMS.,Unassigned
18,2026-02-19,Proposal,Discussed system sizing and utility territory.,Unassigned
18,2026-03-16,Proposal,Discussed system sizing and utility territory.,Unassigned
19,2026-03-13,Proposal,Shared proposal and financing overview.,Atlas Admin
19,2026-03-08,Call,Reviewed roof suitability and project timeline.,Atlas Admin
20,2026-01-20,Site Review,Reviewed roof suitability and project timeline.,Unassigned
20,2026-01-20,Call,Reviewed roof suitability and project timeline.,Unassigned
20,2026-02-20,Site Review,Followed up on estimated savings.,Unassigned
20,2025-12-25,Call,Left voicemail and sent SMS.,Unassigned
20,2026-01-26,Email,Followed up on estimated savings.,Unassigned
21,2026-04-12,Call,Followed up on estimated savings.,Atlas Sales
21,2026-01-26,Proposal,Left voicemail and sent SMS.,Atlas Sales
21,2026-04-04,Call,Discussed system sizing and utility territory.,Atlas Sales
22,2026-01-02,Call,Left voicemail and sent SMS.,Unassigned
22,2026-03-18,Site Review,Left voicemail and sent SMS.,Unassigned
22,2026-03-21,Text,Discussed system sizing and utility territory.,Unassigned
22,2026-03-17,Text,Reviewed roof suitability and project timeline.,Unassigned
22,2026-01-14,Call,Reviewed roof suitability and project timeline.,Unassigned
23,2025-11-20,Site Review,Discussed system sizing and utility territory.,Atlas Sales
23,2025-09-30,Email,Followed up on estimated savings.,Atlas Sales
23,2025-11-02,Text,Reviewed roof suitability and project timeline.,Atlas Sales
23,2025-12-17,Email,Shared proposal and financing overview.,Atlas Sales
24,2025-11-14,Proposal,Discussed system sizing and utility territory.,Unassigned
25,2026-04-14,Proposal,Followed up on estimated savings.,Atlas Admin
25,2026-03-24,Text,Followed up on estimated savings.,Atlas Admin
26,2026-01-31,Text,Left voicemail and sent SMS.,Atlas Sales
26,2026-01-10,Email,Shared proposal and financing overview.,Atlas Sales
26,2026-02-03,Proposal,Discussed system sizing and utility territory.,Atlas Sales
27,2026-05-12,Email,Left voicemail and sent SMS.,Unassigned
27,2026-04-15,Email,Left voicemail and sent SMS.,Unassigned
28,2025-12-10,Text,Followed up on estimated savings.,Unassigned
28,2025-10-11,Text,Reviewed roof suitability and project timeline.,Unassigned
28,2025-11-10,Email,Shared proposal and financing overview.,Unassigned
28,2025-11-21,Site Review,Discussed system sizing and utility territory.,Unassigned
28,2025-11-23,Call,Left voicemail and sent SMS.,Unassigned
29,2025-10-11,Site Review,Left voicemail and sent SMS.,Unassigned
30,2026-04-21,Site Review,Shared proposal and financing overview.,Unassigned
30,2026-06-12,Call,Reviewed roof suitability and project timeline.,Unassigned
30,2026-06-17,Text,Followed up on estimated savings.,Unassigned
31,2026-04-19,Email,Reviewed roof suitability and project timeline.,Atlas Sales
32,2026-04-11,Text,Followed up on estimated savings.,Unassigned
32,2026-04-06,Site Review,Reviewed roof suitability and project timeline.,Unassigned
33,2025-10-03,Email,Left voicemail and sent SMS.,Unassigned
34,2025-12-20,Proposal,Reviewed roof suitability and project timeline.,Unassigned
35,2025-12-06,Proposal,Reviewed roof suitability and project timeline.,Unassigned
35,2025-12-12,Text,Left voicemail and sent SMS.,Unassigned
36,2026-03-25,Email,Followed up on estimated savings.,Unassigned
36,2026-01-15,Call,Shared proposal and financing overview.,Unassigned
36,2026-01-31,Site Review,Left voicemail and sent SMS.,Unassigned
36,2026-02-10,Call,Discussed system sizing and utility territory.,Unassigned
36,2026-02-10,Text,Shared proposal and financing overview.,Unassigned
37,2025-11-24,Text,Discussed system sizing and utility territory.,Unassigned
37,2025-11-18,Site Review,Left voicemail and sent SMS.,Unassigned
38,2026-05-10,Site Review,Shared proposal and financing overview.,Atlas Sales
39,2025-12-24,Proposal,Left voicemail and sent SMS.,Unassigned
39,2026-01-08,Email,Shared proposal and financing overview.,Unassigned
39,2026-01-05,Call,Reviewed roof suitability and project timeline.,Unassigned
39,2025-11-24,Proposal,Followed up on estimated savings.,Unassigned
39,2025-11-20,Email,Left voicemail and sent SMS.,Unassigned
40,2026-03-29,Call,Shared proposal and financing overview.,Unassigned
40,2026-01-16,Text,Shared proposal and financing overview.,Unassigned
40,2026-03-17,Proposal,Reviewed roof suitability and project timeline.,Unassigned
40,2026-01-22,Proposal,Followed up on estimated savings.,Unassigned
41,2025-11-04,Text,Followed up on estimated savings.,Unassigned
41,2025-10-23,Proposal,Reviewed roof suitability and project timeline.,Unassigned
42,2026-03-31,Call,Reviewed roof suitability and project timeline.,Unassigned
42,2026-05-08,Proposal,Shared proposal and financing overview.,Unassigned
42,2026-06-13,Proposal,Left voicemail and sent SMS.,Unassigned
42,2026-06-24,Text,Reviewed roof suitability and project timeline.,Unassigned
42,2026-06-01,Proposal,Reviewed roof suitability and project timeline.,Unassigned
43,2026-03-05,Proposal,Discussed system sizing and utility territory.,Unassigned
43,2026-04-14,Email,Reviewed roof suitability and project timeline.,Unassigned
43,2026-02-19,Site Review,Followed up on estimated savings.,Unassigned
43,2026-03-24,Site Review,Discussed system sizing and utility territory.,Unassigned
43,2026-02-11,Email,Reviewed roof suitability and project timeline.,Unassigned
44,2025-11-23,Text,Followed up on estimated savings.,Unassigned
45,2026-05-13,Text,Left voicemail and sent SMS.,Atlas Sales
45,2026-03-24,Email,Reviewed roof suitability and project timeline.,Atlas Sales
46,2025-12-02,Site Review,Reviewed roof suitability and project timeline.,Unassigned
46,2025-12-10,Email,Left voicemail and sent SMS.,Unassigned
47,2026-04-02,Site Review,Discussed system sizing and utility territory.,Unassigned
47,2026-03-21,Email,Discussed system sizing and utility territory.,Unassigned
47,2026-03-08,Call,Discussed system sizing and utility territory.,Unassigned
47,2026-01-29,Text,Shared proposal and financing overview.,Unassigned
48,2026-05-23,Call,Reviewed roof suitability and project timeline.,Unassigned
48,2026-05-09,Proposal,Shared proposal and financing overview.,Unassigned
48,2026-05-04,Proposal,Followed up on estimated savings.,Unassigned
