prospect_id,date,activity_type,summary,rep
1,2025-11-08,Site Review,Followed up on estimated savings.,Unassigned
1,2025-10-29,Proposal,Followed up on estimated savings.,Unassigned
1,2025-12-05,Proposal,Followed up on estimated savings.,Unassigned
2,2026-01-21,Call,Followed up on estimated savings.,Atlas Admin
2,2026-02-18,Site Review,Followed up on estimated savings.,Atlas Admin
2,2026-01-24,Call,Shared proposal and financing overview.,Atlas Admin
2,2026-02-17,Call,Shared proposal and financing overview.,Atlas Admin
2,2026-01-09,Email,Shared proposal and financing overview.,Atlas Admin
3,2026-01-13,Proposal,Reviewed roof suitability and project timeline.,Unassigned
4,2026-03-26,Call,Shared proposal and financing overview.,Unassigned
5,2025-11-07,Site Review,Left voicemail and sent SMS.,Unassigned
5,2025-12-09,Call,Shared proposal and financing overview.,Unassigned
6,2026-02-23,Email,Followed up on estimated savings.,Atlas Sales
6,2026-02-26,Proposal,Left voicemail and sent SMS.,Atlas Sales
6,2026-01-30,Call,Shared proposal and financing overview.,Atlas Sales
7,2026-06-18,Call,Shared proposal and financing overview.,Unassigned
8,2026-02-28,Proposal,Reviewed roof suitability and project timeline.,Unassigned
8,2026-02-05,Site Review,Shared proposal and financing overview.,Unassigned
9,2026-05-04,Text,Left voicemail and sent SMS.,Atlas Sales
9,2026-04-11,Email,Followed up on estimated savings.,Atlas Sales
9,2026-05-31,Text,Shared proposal and financing overview.,Atlas Sales
9,2026-05-21,Text,Reviewed roof suitability and project timeline.,Atlas Sales
10,2026-02-20,Call,Followed up on estimated savings.,Atlas Sales
10,2026-02-08,Site Review,Left voicemail and sent SMS.,Atlas Sales
10,2026-01-17,Email,Reviewed roof suitability and project timeline.,Atlas Sales
11,2026-01-19,Call,Shared proposal and financing overview.,Atlas Admin
11,2026-03-28,Text,Discussed system sizing and utility territory.,Atlas Admin
11,2026-04-12,Text,Shared proposal and financing overview.,Atlas Admin
11,2026-03-18,Proposal,Reviewed roof suitability and project timeline.,Atlas Admin
12,2026-03-23,Text,Reviewed roof suitability and project timeline.,Unassigned
13,2026-02-07,Text,Shared proposal and financing overview.,Unassigned
14,2026-03-16,Site Review,Discussed system sizing and utility territory.,Atlas Sales
14,2026-02-10,Site Review,Discussed system sizing and utility territory.,Atlas Sales
14,2026-03-01,Proposal,Followed up on estimated savings.,Atlas Sales
14,2026-04-12,Call,Left voicemail and sent SMS.,Atlas Sales
15,2026-03-01,Email,Reviewed roof suitability and project timeline.,Unassigned
15,2026-04-04,Site Review,Followed up on estimated savings.,Unassigned
15,2026-03-06,Site Review,Reviewed roof suitability and project timeline.,Unassigned
16,2026-02-21,Email,Reviewed roof suitability and project timeline.,Atlas Admin
16,2026-03-28,Text,Reviewed roof suitability and project timeline.,Atlas Admin
16,2026-03-03,Site Review,Left voicemail and sent SMS.,Atlas Admin
16,2026-02-05,Call,Left voicemail and sent SMS.,Atlas Admin
16,2026-02-05,Email,Left voicemail and sent SMS.,Atlas Admin
17,2025-11-30,Proposal,Left voicemail and sent SMS.,Atlas Sales
18,2026-03-30,Call,Left voicemail and sent SMS.,Unassigned
18,2026-04-16,Proposal,Discussed system sizing and utility territory.,Unassigned
18,2026-05-11,Proposal,Discussed system sizing and utility territory.,Unassigned
19,2026-03-10,Proposal,Shared proposal and financing overview.,Unassigned
19,2026-03-05,Call,Reviewed roof suitability and project timeline.,Unassigned
20,2026-03-27,Site Review,Reviewed roof suitability and project timeline.,Unassigned
20,2026-03-27,Call,Reviewed roof suitability and project timeline.,Unassigned
20,2026-04-27,Site Review,Followed up on estimated savings.,Unassigned
20,2026-03-01,Call,Left voicemail and sent SMS.,Unassigned
20,2026-04-02,Email,Followed up on estimated savings.,Unassigned
21,2026-02-26,Call,Followed up on estimated savings.,Unassigned
21,2025-12-12,Proposal,Left voicemail and sent SMS.,Unassigned
21,2026-02-18,Call,Discussed system sizing and utility territory.,Unassigned
22,2025-11-28,Call,Left voicemail and sent SMS.,Unassigned
22,2026-02-11,Site Review,Left voicemail and sent SMS.,Unassigned
22,2026-02-14,Text,Discussed system sizing and utility territory.,Unassigned
